,time checked,date,availability
0,2020-07-04 12:27:26.933765,Jul 29,0
1,2020-07-04 12:27:26.933765,Jul 30,0
2,2020-07-04 12:27:26.933765,Jul 31,0
3,2020-07-04 12:27:26.933765,Aug 1,0
4,2020-07-04 12:27:26.933765,Aug 2,0
5,2020-07-04 12:27:29.569170,Aug 3,6
6,2020-07-04 12:27:29.569170,Aug 4,4
7,2020-07-04 12:27:29.569170,Aug 5,14
8,2020-07-04 12:27:29.569170,Aug 6,30
9,2020-07-04 12:27:29.569170,Aug 7,44
10,2020-07-04 12:33:13.609600,Jul 29,0
11,2020-07-04 12:33:13.609600,Jul 30,0
12,2020-07-04 12:33:13.609600,Jul 31,0
13,2020-07-04 12:33:13.609600,Aug 1,0
14,2020-07-04 12:33:13.609600,Aug 2,0
15,2020-07-04 12:33:18.835362,Aug 3,4
16,2020-07-04 12:33:18.835362,Aug 4,2
17,2020-07-04 12:33:18.835362,Aug 5,14
18,2020-07-04 12:33:18.835362,Aug 6,30
19,2020-07-04 12:33:18.835362,Aug 7,44
20,2020-07-04 12:45:41.263540,Jul 29,0
21,2020-07-04 12:45:41.263540,Jul 30,0
22,2020-07-04 12:45:41.263540,Jul 31,0
23,2020-07-04 12:45:41.263540,Aug 1,0
24,2020-07-04 12:45:41.263540,Aug 2,0
25,2020-07-04 12:45:43.624008,Aug 3,4
26,2020-07-04 12:45:43.624008,Aug 4,2
27,2020-07-04 12:45:43.624008,Aug 5,14
28,2020-07-04 12:45:43.624008,Aug 6,30
29,2020-07-04 12:45:43.624008,Aug 7,44
30,2020-07-04 13:00:35.955096,Jul 29,0
31,2020-07-04 13:00:35.955096,Jul 30,0
32,2020-07-04 13:00:35.955096,Jul 31,0
33,2020-07-04 13:00:35.955096,Aug 1,0
34,2020-07-04 13:00:35.955096,Aug 2,0
35,2020-07-04 13:00:37.627728,Aug 3,6
36,2020-07-04 13:00:37.627728,Aug 4,4
37,2020-07-04 13:00:37.627728,Aug 5,14
38,2020-07-04 13:00:37.627728,Aug 6,30
39,2020-07-04 13:00:37.627728,Aug 7,44
40,2020-07-04 13:15:26.675097,Jul 29,0
41,2020-07-04 13:15:26.675097,Jul 30,0
42,2020-07-04 13:15:26.675097,Jul 31,0
43,2020-07-04 13:15:26.675097,Aug 1,0
44,2020-07-04 13:15:26.675097,Aug 2,0
45,2020-07-04 13:15:28.385748,Aug 3,4
46,2020-07-04 13:15:28.385748,Aug 4,2
47,2020-07-04 13:15:28.385748,Aug 5,12
48,2020-07-04 13:15:28.385748,Aug 6,28
49,2020-07-04 13:15:28.385748,Aug 7,42
50,2020-07-04 13:30:25.287466,Jul 29,0
51,2020-07-04 13:30:25.287466,Jul 30,0
52,2020-07-04 13:30:25.287466,Jul 31,0
53,2020-07-04 13:30:25.287466,Aug 1,0
54,2020-07-04 13:30:25.287466,Aug 2,0
55,2020-07-04 13:30:27.607785,Aug 3,2
56,2020-07-04 13:30:27.607785,Aug 4,0
57,2020-07-04 13:30:27.607785,Aug 5,10
58,2020-07-04 13:30:27.607785,Aug 6,26
59,2020-07-04 13:30:27.607785,Aug 7,40
60,2020-07-04 13:45:26.125589,Jul 29,0
61,2020-07-04 13:45:26.125589,Jul 30,0
62,2020-07-04 13:45:26.125589,Jul 31,0
63,2020-07-04 13:45:26.125589,Aug 1,0
64,2020-07-04 13:45:26.125589,Aug 2,0
65,2020-07-04 13:45:28.541630,Aug 3,0
66,2020-07-04 13:45:28.541630,Aug 4,0
67,2020-07-04 13:45:28.541630,Aug 5,10
68,2020-07-04 13:45:28.541630,Aug 6,26
69,2020-07-04 13:45:28.541630,Aug 7,40
70,2020-07-04 14:00:25.898177,Jul 29,0
71,2020-07-04 14:00:25.898177,Jul 30,0
72,2020-07-04 14:00:25.898177,Jul 31,0
73,2020-07-04 14:00:25.898177,Aug 1,0
74,2020-07-04 14:00:25.898177,Aug 2,0
75,2020-07-04 14:00:28.007704,Aug 3,0
76,2020-07-04 14:00:28.007704,Aug 4,0
77,2020-07-04 14:00:28.007704,Aug 5,8
78,2020-07-04 14:00:28.007704,Aug 6,24
79,2020-07-04 14:00:28.007704,Aug 7,38
80,2020-07-04 14:15:27.064721,Jul 29,0
81,2020-07-04 14:15:27.064721,Jul 30,0
82,2020-07-04 14:15:27.064721,Jul 31,0
83,2020-07-04 14:15:27.064721,Aug 1,0
84,2020-07-04 14:15:27.064721,Aug 2,0
85,2020-07-04 14:15:29.062601,Aug 3,0
86,2020-07-04 14:15:29.062601,Aug 4,0
87,2020-07-04 14:15:29.062601,Aug 5,10
88,2020-07-04 14:15:29.062601,Aug 6,26
89,2020-07-04 14:15:29.062601,Aug 7,40
90,2020-07-04 14:30:27.248344,Jul 29,0
91,2020-07-04 14:30:27.248344,Jul 30,0
92,2020-07-04 14:30:27.248344,Jul 31,0
93,2020-07-04 14:30:27.248344,Aug 1,0
94,2020-07-04 14:30:27.248344,Aug 2,0
95,2020-07-04 14:30:29.261624,Aug 3,0
96,2020-07-04 14:30:29.261624,Aug 4,0
97,2020-07-04 14:30:29.261624,Aug 5,10
98,2020-07-04 14:30:29.261624,Aug 6,26
99,2020-07-04 14:30:29.261624,Aug 7,40
100,2020-07-04 14:45:26.991751,Jul 29,0
101,2020-07-04 14:45:26.991751,Jul 30,0
102,2020-07-04 14:45:26.991751,Jul 31,0
103,2020-07-04 14:45:26.991751,Aug 1,0
104,2020-07-04 14:45:26.991751,Aug 2,0
105,2020-07-04 14:45:29.137557,Aug 3,2
106,2020-07-04 14:45:29.137557,Aug 4,0
107,2020-07-04 14:45:29.137557,Aug 5,10
108,2020-07-04 14:45:29.137557,Aug 6,26
109,2020-07-04 14:45:29.137557,Aug 7,40
110,2020-07-04 15:00:26.404911,Jul 29,0
111,2020-07-04 15:00:26.404911,Jul 30,0
112,2020-07-04 15:00:26.404911,Jul 31,0
113,2020-07-04 15:00:26.404911,Aug 1,0
114,2020-07-04 15:00:26.404911,Aug 2,0
115,2020-07-04 15:00:28.531184,Aug 3,1
116,2020-07-04 15:00:28.531184,Aug 4,0
117,2020-07-04 15:00:28.531184,Aug 5,10
118,2020-07-04 15:00:28.531184,Aug 6,26
119,2020-07-04 15:00:28.531184,Aug 7,40
120,2020-07-04 15:15:24.915841,Jul 29,0
121,2020-07-04 15:15:24.915841,Jul 30,0
122,2020-07-04 15:15:24.915841,Jul 31,0
123,2020-07-04 15:15:24.915841,Aug 1,0
124,2020-07-04 15:15:24.915841,Aug 2,0
125,2020-07-04 15:15:27.201453,Aug 3,1
126,2020-07-04 15:15:27.201453,Aug 4,0
127,2020-07-04 15:15:27.201453,Aug 5,10
128,2020-07-04 15:15:27.201453,Aug 6,26
129,2020-07-04 15:15:27.201453,Aug 7,40
130,2020-07-04 15:30:25.652038,Jul 29,0
131,2020-07-04 15:30:25.652038,Jul 30,0
132,2020-07-04 15:30:25.652038,Jul 31,0
133,2020-07-04 15:30:25.652038,Aug 1,0
134,2020-07-04 15:30:25.652038,Aug 2,0
135,2020-07-04 15:30:27.715003,Aug 3,2
136,2020-07-04 15:30:27.715003,Aug 4,0
137,2020-07-04 15:30:27.715003,Aug 5,10
138,2020-07-04 15:30:27.715003,Aug 6,26
139,2020-07-04 15:30:27.715003,Aug 7,40
140,2020-07-04 15:45:26.588797,Jul 29,0
141,2020-07-04 15:45:26.588797,Jul 30,0
142,2020-07-04 15:45:26.588797,Jul 31,0
143,2020-07-04 15:45:26.588797,Aug 1,0
144,2020-07-04 15:45:26.588797,Aug 2,0
145,2020-07-04 15:45:28.627423,Aug 3,2
146,2020-07-04 15:45:28.627423,Aug 4,0
147,2020-07-04 15:45:28.627423,Aug 5,10
148,2020-07-04 15:45:28.627423,Aug 6,26
149,2020-07-04 15:45:28.627423,Aug 7,40
150,2020-07-04 16:00:26.834163,Jul 29,0
151,2020-07-04 16:00:26.834163,Jul 30,0
152,2020-07-04 16:00:26.834163,Jul 31,0
153,2020-07-04 16:00:26.834163,Aug 1,0
154,2020-07-04 16:00:26.834163,Aug 2,0
155,2020-07-04 16:00:28.909225,Aug 3,2
156,2020-07-04 16:00:28.909225,Aug 4,0
157,2020-07-04 16:00:28.909225,Aug 5,10
158,2020-07-04 16:00:28.909225,Aug 6,26
159,2020-07-04 16:00:28.909225,Aug 7,40
160,2020-07-04 16:15:25.876791,Jul 29,0
161,2020-07-04 16:15:25.876791,Jul 30,0
162,2020-07-04 16:15:25.876791,Jul 31,0
163,2020-07-04 16:15:25.876791,Aug 1,0
164,2020-07-04 16:15:25.876791,Aug 2,0
165,2020-07-04 16:15:27.928611,Aug 3,2
166,2020-07-04 16:15:27.928611,Aug 4,0
167,2020-07-04 16:15:27.928611,Aug 5,10
